"Name","Country","State","Level","Wikipedia","Wikidata","VIAF","ISNI","GRID","Website","ID"
"1 Decembrie 1918 University, Alba Iulia","RO",,"Org","http://en.wikipedia.org/wiki?curid=10039929","http://www.wikidata.org/wiki/Q2053266",,"http://www.isni.org/isni/0000000121707636","http://www.grid.ac/institutes/grid.445667.2","http://www.uab.ro","10039929"
"108 Hospital","VN",,"Org","http://en.wikipedia.org/wiki?curid=12186216","http://www.wikidata.org/wiki/Q4546769",,,"http://www.grid.ac/institutes/grid.461530.5","http://www.benhvien108.vn","12186216"
"23andMe","US","CA","Org","http://en.wikipedia.org/wiki?curid=11979083","http://www.wikidata.org/wiki/Q216272",,"http://www.isni.org/isni/0000000406260858","http://www.grid.ac/institutes/grid.420283.f","http://www.23andme.com","11979083"
"301 Military Hospital","CN",,"Org","http://en.wikipedia.org/wiki?curid=13967334","http://www.wikidata.org/wiki/Q4634345",,"http://www.isni.org/isni/0000000417618894","http://www.grid.ac/institutes/grid.414252.4","http://202.106.73.29/english/index.jsp","13967334"
"37 Military Hospital","GH",,"Org","http://en.wikipedia.org/wiki?curid=42005680","http://www.wikidata.org/wiki/Q16733301",,,"http://www.grid.ac/institutes/grid.460805.f",,"42005680"
"3H Biomedical","SE",,"Org","http://en.wikipedia.org/wiki?curid=23364136","http://www.wikidata.org/wiki/Q4636351",,,"http://www.grid.ac/institutes/grid.431857.c","http://www.3hbiomedical.com","23364136"
"3M","US","MN","Org","http://en.wikipedia.org/wiki?curid=7664801","http://www.wikidata.org/wiki/Q159433",,"http://www.isni.org/isni/0000000106956319","http://www.grid.ac/institutes/grid.417536.2","http://www.3m.com","7664801"
"454 Life Sciences","US","CT","Org","http://en.wikipedia.org/wiki?curid=6375012","http://www.wikidata.org/wiki/Q2474700",,,,"http://my454.com","6375012"
"4Culture","US","WA","Org","http://en.wikipedia.org/wiki?curid=41639609","http://www.wikidata.org/wiki/Q16959357",,,,"http://www.4culture.org","41639609"
"57357 Hospital","EG",,"Org","http://en.wikipedia.org/wiki?curid=28719961","http://www.wikidata.org/wiki/Q4640784",,,"http://www.grid.ac/institutes/grid.428154.e",,"28719961"
"A G Patil Polytechnic Institute","IN",,"Org","http://en.wikipedia.org/wiki?curid=34466775","http://www.wikidata.org/wiki/Q14957062",,,,,"34466775"
"A J Institute of Medical Science","IN",,"Org","http://en.wikipedia.org/wiki?curid=11994843","http://www.wikidata.org/wiki/Q4657475",,,,"http://www.ajhospital.in/index.php]","11994843"
"A N Magadh Medical College and Hospital","IN",,"Org","http://en.wikipedia.org/wiki?curid=33184646","http://www.wikidata.org/wiki/Q4658427",,,"http://www.grid.ac/institutes/grid.460849.7","http://anmmc.bih.nic.in/index.htm","33184646"
"A S College","IN",,"Org","http://en.wikipedia.org/wiki?curid=35279565","http://www.wikidata.org/wiki/Q4659317",,,,"http://www.asckhn.com","35279565"
"A. A. N. M. & V. V. R. S. R. Polytechnic","IN",,"Org","http://en.wikipedia.org/wiki?curid=35032588","http://www.wikidata.org/wiki/Q14956965",,,,,"35032588"
"A. D. Patel Institute of Technology","IN",,"Org","http://en.wikipedia.org/wiki?curid=34635278","http://www.wikidata.org/wiki/Q4647675",,"http://www.isni.org/isni/0000000417658466",,"http://www.adit.ac.in","34635278"
"A. Gary Anderson Graduate School of Management","US","CA","Org","http://en.wikipedia.org/wiki?curid=6130780","http://www.wikidata.org/wiki/Q14681526",,,,"http://www.agsm.ucr.edu","6130780"
"A. James Clark School of Engineering","US","MD","Org","http://en.wikipedia.org/wiki?curid=12381157","http://www.wikidata.org/wiki/Q4647997","http://viaf.org/viaf/151571915","http://www.isni.org/isni/0000000404721382",,"http://www.eng.umd.edu","12381157"
"A. M. B.Ed. College","IN",,"Org","http://en.wikipedia.org/wiki?curid=39193763","http://www.wikidata.org/wiki/Q16868912",,,,"http://ambedcollegegaya.org","39193763"
"A. M. Jain College","IN",,"Org","http://en.wikipedia.org/wiki?curid=7723271","http://www.wikidata.org/wiki/Q4648127",,"http://www.isni.org/isni/000000040504757X",,"http://amjaincollege.info/admin/index.php","7723271"
"A. Philip Randolph Academies of Technology","US","FL","Org","http://en.wikipedia.org/wiki?curid=8320642","http://www.wikidata.org/wiki/Q4648262",,,,"http://www.duvalschools.org/aprtech","8320642"
"A. R. C. Viswanathan College","IN",,"Org","http://en.wikipedia.org/wiki?curid=37596644","http://www.wikidata.org/wiki/Q4648280",,,,,"37596644"
"A. V. C. College of Engineering","IN",,"Org","http://en.wikipedia.org/wiki?curid=30959820","http://www.wikidata.org/wiki/Q4648460",,"http://www.isni.org/isni/0000000405056513",,"http://www.avccengg.net","30959820"
"A. V. C. College","IN",,"Org","http://en.wikipedia.org/wiki?curid=14905742","http://www.wikidata.org/wiki/Q4648464",,"http://www.isni.org/isni/0000000417658028",,"http://www.avccollege.net","14905742"
"A.Q. Miller School of Journalism and Mass Communications","US","KS","Org","http://en.wikipedia.org/wiki?curid=32270691","http://www.wikidata.org/wiki/Q4647273","http://viaf.org/viaf/142194238",,,"http://jmc.ksu.edu","32270691"
"A.R.J College of Engineering and Technology","IN",,"Org","http://en.wikipedia.org/wiki?curid=30959794","http://www.wikidata.org/wiki/Q4647277",,,,,"30959794"
"A.S. Pushkin Brest State University","BY",,"Org","http://en.wikipedia.org/wiki?curid=25931737","http://www.wikidata.org/wiki/Q2638914","http://viaf.org/viaf/300340905",,"http://www.grid.ac/institutes/grid.444993.7","http://www.brsu.brest.by/eng/m.php?m=1.1","25931737"
"A.T. Still University School of Osteopathic Medicine in Arizona","US","AZ","Sub","http://en.wikipedia.org/wiki?curid=31519938","http://www.wikidata.org/wiki/Q4647421",,,,"http://www.atsu.edu/soma/index.htm","31519938"
"A.T. Still University","US","MO","Org","http://en.wikipedia.org/wiki?curid=13637390","http://www.wikidata.org/wiki/Q4647420","http://viaf.org/viaf/145247035","http://www.isni.org/isni/000000040383094X","http://www.grid.ac/institutes/grid.251612.3","http://www.atsu.edu","13637390"
"A.V.V.M Sri Pushpam College","IN",,"Org","http://en.wikipedia.org/wiki?curid=24308817","http://www.wikidata.org/wiki/Q4647425","http://viaf.org/viaf/145542741","http://www.isni.org/isni/0000000405058076",,"http://www.sripushpamcollege.co.in","24308817"
"AAB University","RS",,"Org","http://en.wikipedia.org/wiki?curid=16989001","http://www.wikidata.org/wiki/Q4649771",,,,"http://www.aab-edu.net","47000450"
"Aadhaar","IN",,"Org","http://en.wikipedia.org/wiki?curid=23384503","http://www.wikidata.org/wiki/Q12052688","http://viaf.org/viaf/151519059",,,"http://uidai.gov.in","23384503"
"AAH Pharmaceuticals","GB",,"Org","http://en.wikipedia.org/wiki?curid=36983014","http://www.wikidata.org/wiki/Q4649874",,,,"http://www.aah.co.uk","36983014"
"Aalborg Business College","DK",,"Org","http://en.wikipedia.org/wiki?curid=15650396","http://www.wikidata.org/wiki/Q4661370",,"http://www.isni.org/isni/0000000404137805",,"http://www.ah.dk","15650396"
"Aalborg University Copenhagen","DK",,"Org","http://en.wikipedia.org/wiki?curid=33785146","http://www.wikidata.org/wiki/Q12300291",,,,"http://www.aau-cph.dk","33785146"
"Aalborg University Hospital","DK",,"Org","http://en.wikipedia.org/wiki?curid=2322349","http://www.wikidata.org/wiki/Q2757508",,"http://www.isni.org/isni/0000000406467349","http://www.grid.ac/institutes/grid.27530.33","http://www.aalborguh.rn.dk","2322349"
"Aalborg University â€“ Esbjerg","DK",,"Org","http://en.wikipedia.org/wiki?curid=33784804","http://www.wikidata.org/wiki/Q12300290",,,,,"33784804"
"Aalborg University","DK",,"Org","http://en.wikipedia.org/wiki?curid=382707","http://www.wikidata.org/wiki/Q601956","http://viaf.org/viaf/138923714","http://www.isni.org/isni/000000010742471X","http://www.grid.ac/institutes/grid.5117.2","http://www.en.aau.dk","382707"
"Aalesund sjukehus","NO",,"Org",,,,"http://www.isni.org/isni/0000000406448914",,,"47000932"
"Aalesund University College","NO",,"Org","http://en.wikipedia.org/wiki?curid=1841877","http://www.wikidata.org/wiki/Q1323518","http://viaf.org/viaf/131234878","http://www.isni.org/isni/0000000089925077","http://www.grid.ac/institutes/grid.446024.0","http://www.hials.no","1841877"
"Aalim Muhammed Salegh College of Engineering","IN",,"Org","http://en.wikipedia.org/wiki?curid=32599623","http://www.wikidata.org/wiki/Q4661396",,"http://www.isni.org/isni/0000000417713138",,"http://www.aalimec.ac.in","32599623"
"Aalto University Library","FI",,"Org","http://en.wikipedia.org/wiki?curid=21262624","http://www.wikidata.org/wiki/Q620919",,,,"http://lib.aalto.fi/en","21262624"
"Aalto University School of Arts, Design and Architecture","FI",,"Sub","http://en.wikipedia.org/wiki?curid=1309265","http://www.wikidata.org/wiki/Q2591673",,,,"http://arts.aalto.fi/en","1309265"
"Aalto University School of Business","FI",,"Sub","http://en.wikipedia.org/wiki?curid=486339","http://www.wikidata.org/wiki/Q1358296",,,,"http://business.aalto.fi/en","486339"
"Aalto University School of Chemical Technology","FI",,"Sub","http://en.wikipedia.org/wiki?curid=30269813","http://www.wikidata.org/wiki/Q4661411",,,,"http://chem.aalto.fi/en","30269813"
"Aalto University School of Electrical Engineering","FI",,"Sub","http://en.wikipedia.org/wiki?curid=30269867","http://www.wikidata.org/wiki/Q4661414",,,,"http://elec.aalto.fi/en","30269867"
"Aalto University School of Engineering","FI",,"Sub","http://en.wikipedia.org/wiki?curid=30269774","http://www.wikidata.org/wiki/Q4661412",,,,"http://eng.aalto.fi/en","30269774"
"Aalto University School of Science","FI",,"Sub","http://en.wikipedia.org/wiki?curid=30269844","http://www.wikidata.org/wiki/Q4661410",,,,"http://sci.aalto.fi/en","30269844"